readiness_id,initiative_id,readiness_dimension,readiness_score,assessment_status,assessment_note
RDY-00332,TR-0067,Data,83,Ready,Data readiness assessment for transformation initiative.
RDY-00333,TR-0067,Process,47,Not Ready,Process readiness assessment for transformation initiative.
RDY-00334,TR-0067,People,85,Ready,People readiness assessment for transformation initiative.
RDY-00335,TR-0067,Governance,54,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00336,TR-0068,Technology,43,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00337,TR-0068,Data,88,Ready,Data readiness assessment for transformation initiative.
RDY-00338,TR-0068,Process,49,Not Ready,Process readiness assessment for transformation initiative.
RDY-00339,TR-0068,People,47,Not Ready,People readiness assessment for transformation initiative.
RDY-00340,TR-0068,Governance,51,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00341,TR-0069,Technology,64,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00342,TR-0069,Data,45,Not Ready,Data readiness assessment for transformation initiative.
RDY-00343,TR-0069,Process,44,Not Ready,Process readiness assessment for transformation initiative.
RDY-00344,TR-0069,People,58,Remediation Required,People readiness assessment for transformation initiative.
RDY-00345,TR-0069,Governance,48,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00346,TR-0070,Technology,46,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00347,TR-0070,Data,90,Ready,Data readiness assessment for transformation initiative.
RDY-00348,TR-0070,Process,71,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00349,TR-0070,People,35,Not Ready,People readiness assessment for transformation initiative.
RDY-00350,TR-0070,Governance,41,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00351,TR-0071,Technology,84,Ready,Technology readiness assessment for transformation initiative.
RDY-00352,TR-0071,Data,51,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00353,TR-0071,Process,44,Not Ready,Process readiness assessment for transformation initiative.
RDY-00354,TR-0071,People,75,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00355,TR-0071,Governance,86,Ready,Governance readiness assessment for transformation initiative.
RDY-00356,TR-0072,Technology,59,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00357,TR-0072,Data,80,Ready,Data readiness assessment for transformation initiative.
RDY-00358,TR-0072,Process,60,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00359,TR-0072,People,41,Not Ready,People readiness assessment for transformation initiative.
RDY-00360,TR-0072,Governance,83,Ready,Governance readiness assessment for transformation initiative.
RDY-00361,TR-0073,Technology,91,Ready,Technology readiness assessment for transformation initiative.
RDY-00362,TR-0073,Data,95,Ready,Data readiness assessment for transformation initiative.
RDY-00363,TR-0073,Process,41,Not Ready,Process readiness assessment for transformation initiative.
RDY-00364,TR-0073,People,69,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00365,TR-0073,Governance,73,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00366,TR-0074,Technology,39,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00367,TR-0074,Data,93,Ready,Data readiness assessment for transformation initiative.
RDY-00368,TR-0074,Process,41,Not Ready,Process readiness assessment for transformation initiative.
RDY-00369,TR-0074,People,51,Remediation Required,People readiness assessment for transformation initiative.
RDY-00370,TR-0074,Governance,94,Ready,Governance readiness assessment for transformation initiative.
RDY-00371,TR-0075,Technology,68,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00372,TR-0075,Data,76,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00373,TR-0075,Process,65,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00374,TR-0075,People,80,Ready,People readiness assessment for transformation initiative.
RDY-00375,TR-0075,Governance,39,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00376,TR-0076,Technology,76,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00377,TR-0076,Data,39,Not Ready,Data readiness assessment for transformation initiative.
RDY-00378,TR-0076,Process,45,Not Ready,Process readiness assessment for transformation initiative.
RDY-00379,TR-0076,People,65,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00380,TR-0076,Governance,62,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00381,TR-0077,Technology,44,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00382,TR-0077,Data,83,Ready,Data readiness assessment for transformation initiative.
RDY-00383,TR-0077,Process,53,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00384,TR-0077,People,87,Ready,People readiness assessment for transformation initiative.
RDY-00385,TR-0077,Governance,35,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00386,TR-0078,Technology,49,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00387,TR-0078,Data,53,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00388,TR-0078,Process,71,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00389,TR-0078,People,59,Remediation Required,People readiness assessment for transformation initiative.
RDY-00390,TR-0078,Governance,44,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00391,TR-0079,Technology,69,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00392,TR-0079,Data,93,Ready,Data readiness assessment for transformation initiative.
RDY-00393,TR-0079,Process,43,Not Ready,Process readiness assessment for transformation initiative.
RDY-00394,TR-0079,People,50,Remediation Required,People readiness assessment for transformation initiative.
RDY-00395,TR-0079,Governance,64,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00396,TR-0080,Technology,79,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00397,TR-0080,Data,43,Not Ready,Data readiness assessment for transformation initiative.
RDY-00398,TR-0080,Process,49,Not Ready,Process readiness assessment for transformation initiative.
RDY-00399,TR-0080,People,49,Not Ready,People readiness assessment for transformation initiative.
RDY-00400,TR-0080,Governance,72,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00401,TR-0081,Technology,40,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00402,TR-0081,Data,75,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00403,TR-0081,Process,60,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00404,TR-0081,People,55,Remediation Required,People readiness assessment for transformation initiative.
RDY-00405,TR-0081,Governance,87,Ready,Governance readiness assessment for transformation initiative.
RDY-00406,TR-0082,Technology,84,Ready,Technology readiness assessment for transformation initiative.
RDY-00407,TR-0082,Data,83,Ready,Data readiness assessment for transformation initiative.
RDY-00408,TR-0082,Process,89,Ready,Process readiness assessment for transformation initiative.
RDY-00409,TR-0082,People,49,Not Ready,People readiness assessment for transformation initiative.
RDY-00410,TR-0082,Governance,87,Ready,Governance readiness assessment for transformation initiative.
RDY-00411,TR-0083,Technology,45,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00412,TR-0083,Data,55,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00413,TR-0083,Process,68,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00414,TR-0083,People,80,Ready,People readiness assessment for transformation initiative.
RDY-00415,TR-0083,Governance,70,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00416,TR-0084,Technology,69,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00417,TR-0084,Data,57,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00418,TR-0084,Process,71,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00419,TR-0084,People,63,Remediation Required,People readiness assessment for transformation initiative.
RDY-00420,TR-0084,Governance,64,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00421,TR-0085,Technology,70,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00422,TR-0085,Data,71,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00423,TR-0085,Process,55,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00424,TR-0085,People,43,Not Ready,People readiness assessment for transformation initiative.
RDY-00425,TR-0085,Governance,53,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00426,TR-0086,Technology,59,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00427,TR-0086,Data,44,Not Ready,Data readiness assessment for transformation initiative.
RDY-00428,TR-0086,Process,45,Not Ready,Process readiness assessment for transformation initiative.
RDY-00429,TR-0086,People,93,Ready,People readiness assessment for transformation initiative.
RDY-00430,TR-0086,Governance,52,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00431,TR-0087,Technology,80,Ready,Technology readiness assessment for transformation initiative.
RDY-00432,TR-0087,Data,42,Not Ready,Data readiness assessment for transformation initiative.
RDY-00433,TR-0087,Process,94,Ready,Process readiness assessment for transformation initiative.
RDY-00434,TR-0087,People,47,Not Ready,People readiness assessment for transformation initiative.
RDY-00435,TR-0087,Governance,59,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00436,TR-0088,Technology,82,Ready,Technology readiness assessment for transformation initiative.
RDY-00437,TR-0088,Data,47,Not Ready,Data readiness assessment for transformation initiative.
RDY-00438,TR-0088,Process,68,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00439,TR-0088,People,82,Ready,People readiness assessment for transformation initiative.
RDY-00440,TR-0088,Governance,36,Not Ready,Governance readiness assessment for transformation initiative.
RDY-00441,TR-0089,Technology,36,Not Ready,Technology readiness assessment for transformation initiative.
RDY-00442,TR-0089,Data,83,Ready,Data readiness assessment for transformation initiative.
RDY-00443,TR-0089,Process,51,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00444,TR-0089,People,90,Ready,People readiness assessment for transformation initiative.
RDY-00445,TR-0089,Governance,91,Ready,Governance readiness assessment for transformation initiative.
RDY-00446,TR-0090,Technology,88,Ready,Technology readiness assessment for transformation initiative.
RDY-00447,TR-0090,Data,95,Ready,Data readiness assessment for transformation initiative.
RDY-00448,TR-0090,Process,85,Ready,Process readiness assessment for transformation initiative.
RDY-00449,TR-0090,People,58,Remediation Required,People readiness assessment for transformation initiative.
RDY-00450,TR-0090,Governance,95,Ready,Governance readiness assessment for transformation initiative.
RDY-00451,TR-0091,Technology,56,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00452,TR-0091,Data,70,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00453,TR-0091,Process,35,Not Ready,Process readiness assessment for transformation initiative.
RDY-00454,TR-0091,People,93,Ready,People readiness assessment for transformation initiative.
RDY-00455,TR-0091,Governance,71,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00456,TR-0092,Technology,92,Ready,Technology readiness assessment for transformation initiative.
RDY-00457,TR-0092,Data,56,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00458,TR-0092,Process,54,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00459,TR-0092,People,66,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00460,TR-0092,Governance,87,Ready,Governance readiness assessment for transformation initiative.
RDY-00461,TR-0093,Technology,68,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00462,TR-0093,Data,83,Ready,Data readiness assessment for transformation initiative.
RDY-00463,TR-0093,Process,48,Not Ready,Process readiness assessment for transformation initiative.
RDY-00464,TR-0093,People,82,Ready,People readiness assessment for transformation initiative.
RDY-00465,TR-0093,Governance,79,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00466,TR-0094,Technology,89,Ready,Technology readiness assessment for transformation initiative.
RDY-00467,TR-0094,Data,38,Not Ready,Data readiness assessment for transformation initiative.
RDY-00468,TR-0094,Process,58,Remediation Required,Process readiness assessment for transformation initiative.
RDY-00469,TR-0094,People,40,Not Ready,People readiness assessment for transformation initiative.
RDY-00470,TR-0094,Governance,59,Remediation Required,Governance readiness assessment for transformation initiative.
RDY-00471,TR-0095,Technology,81,Ready,Technology readiness assessment for transformation initiative.
RDY-00472,TR-0095,Data,74,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00473,TR-0095,Process,80,Ready,Process readiness assessment for transformation initiative.
RDY-00474,TR-0095,People,80,Ready,People readiness assessment for transformation initiative.
RDY-00475,TR-0095,Governance,95,Ready,Governance readiness assessment for transformation initiative.
RDY-00476,TR-0096,Technology,88,Ready,Technology readiness assessment for transformation initiative.
RDY-00477,TR-0096,Data,70,Ready with Conditions,Data readiness assessment for transformation initiative.
RDY-00478,TR-0096,Process,88,Ready,Process readiness assessment for transformation initiative.
RDY-00479,TR-0096,People,37,Not Ready,People readiness assessment for transformation initiative.
RDY-00480,TR-0096,Governance,79,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00481,TR-0097,Technology,66,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00482,TR-0097,Data,93,Ready,Data readiness assessment for transformation initiative.
RDY-00483,TR-0097,Process,65,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00484,TR-0097,People,45,Not Ready,People readiness assessment for transformation initiative.
RDY-00485,TR-0097,Governance,79,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00486,TR-0098,Technology,92,Ready,Technology readiness assessment for transformation initiative.
RDY-00487,TR-0098,Data,35,Not Ready,Data readiness assessment for transformation initiative.
RDY-00488,TR-0098,Process,38,Not Ready,Process readiness assessment for transformation initiative.
RDY-00489,TR-0098,People,75,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00490,TR-0098,Governance,68,Ready with Conditions,Governance readiness assessment for transformation initiative.
RDY-00491,TR-0099,Technology,68,Ready with Conditions,Technology readiness assessment for transformation initiative.
RDY-00492,TR-0099,Data,40,Not Ready,Data readiness assessment for transformation initiative.
RDY-00493,TR-0099,Process,69,Ready with Conditions,Process readiness assessment for transformation initiative.
RDY-00494,TR-0099,People,69,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00495,TR-0099,Governance,86,Ready,Governance readiness assessment for transformation initiative.
RDY-00496,TR-0100,Technology,58,Remediation Required,Technology readiness assessment for transformation initiative.
RDY-00497,TR-0100,Data,56,Remediation Required,Data readiness assessment for transformation initiative.
RDY-00498,TR-0100,Process,39,Not Ready,Process readiness assessment for transformation initiative.
RDY-00499,TR-0100,People,69,Ready with Conditions,People readiness assessment for transformation initiative.
RDY-00500,TR-0100,Governance,74,Ready with Conditions,Governance readiness assessment for transformation initiative.
