risk_id,initiative_id,risk_name,risk_domain,description,likelihood,impact,control_effectiveness,status
RSK-00204,TR-0031,Financial risk for Cybersecurity Modernization Program 031,Financial,Potential financial risk associated with the transformation.,3,4,46.9,Monitoring
RSK-00205,TR-0031,Technology risk for Cybersecurity Modernization Program 031,Technology,Potential technology risk associated with the transformation.,4,5,26.59,Open
RSK-00206,TR-0031,Compliance risk for Cybersecurity Modernization Program 031,Compliance,Potential compliance risk associated with the transformation.,4,4,57.21,Open
RSK-00207,TR-0031,Operational risk for Cybersecurity Modernization Program 031,Operational,Potential operational risk associated with the transformation.,3,5,27.01,Open
RSK-00208,TR-0031,Data risk for Cybersecurity Modernization Program 031,Data,Potential data risk associated with the transformation.,5,2,73.73,Open
RSK-00209,TR-0032,Vendor & Dependency risk for Data Platform Modernization Program 032,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,1,87.3,Monitoring
RSK-00210,TR-0032,Technology risk for Data Platform Modernization Program 032,Technology,Potential technology risk associated with the transformation.,4,4,59.55,Open
RSK-00211,TR-0032,Financial risk for Data Platform Modernization Program 032,Financial,Potential financial risk associated with the transformation.,3,4,38.1,Mitigated
RSK-00212,TR-0032,Compliance risk for Data Platform Modernization Program 032,Compliance,Potential compliance risk associated with the transformation.,4,3,62.61,Open
RSK-00213,TR-0032,Cybersecurity risk for Data Platform Modernization Program 032,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,5,84.92,Open
RSK-00214,TR-0032,People & Change risk for Data Platform Modernization Program 032,People & Change,Potential people & change risk associated with the transformation.,2,3,30.85,Open
RSK-00215,TR-0032,Operational risk for Data Platform Modernization Program 032,Operational,Potential operational risk associated with the transformation.,2,5,29.81,Open
RSK-00216,TR-0032,Data risk for Data Platform Modernization Program 032,Data,Potential data risk associated with the transformation.,4,4,75.34,Monitoring
RSK-00217,TR-0033,Compliance risk for Data Platform Modernization Program 033,Compliance,Potential compliance risk associated with the transformation.,3,2,76.78,Open
RSK-00218,TR-0033,Cybersecurity risk for Data Platform Modernization Program 033,Cybersecurity,Potential cybersecurity risk associated with the transformation.,2,3,79.73,Open
RSK-00219,TR-0033,Vendor & Dependency risk for Data Platform Modernization Program 033,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,5,30.05,Monitoring
RSK-00220,TR-0033,Data risk for Data Platform Modernization Program 033,Data,Potential data risk associated with the transformation.,3,3,69.78,Mitigated
RSK-00221,TR-0033,Operational risk for Data Platform Modernization Program 033,Operational,Potential operational risk associated with the transformation.,3,4,43.84,Monitoring
RSK-00222,TR-0033,People & Change risk for Data Platform Modernization Program 033,People & Change,Potential people & change risk associated with the transformation.,4,4,65.53,Open
RSK-00223,TR-0034,People & Change risk for Legacy Application Replacement Program 034,People & Change,Potential people & change risk associated with the transformation.,2,3,53.66,Monitoring
RSK-00224,TR-0034,Financial risk for Legacy Application Replacement Program 034,Financial,Potential financial risk associated with the transformation.,3,5,60.48,Monitoring
RSK-00225,TR-0034,Vendor & Dependency risk for Legacy Application Replacement Program 034,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,3,65.28,Mitigated
RSK-00226,TR-0034,Operational risk for Legacy Application Replacement Program 034,Operational,Potential operational risk associated with the transformation.,3,4,64.13,Monitoring
RSK-00227,TR-0034,Compliance risk for Legacy Application Replacement Program 034,Compliance,Potential compliance risk associated with the transformation.,2,4,56.3,Mitigated
RSK-00228,TR-0034,Cybersecurity risk for Legacy Application Replacement Program 034,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,3,87.54,Open
RSK-00229,TR-0035,Technology risk for Legacy Application Replacement Program 035,Technology,Potential technology risk associated with the transformation.,1,4,35.03,Mitigated
RSK-00230,TR-0035,People & Change risk for Legacy Application Replacement Program 035,People & Change,Potential people & change risk associated with the transformation.,2,4,46.21,Monitoring
RSK-00231,TR-0035,Vendor & Dependency risk for Legacy Application Replacement Program 035,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,39.99,Mitigated
RSK-00232,TR-0035,Financial risk for Legacy Application Replacement Program 035,Financial,Potential financial risk associated with the transformation.,3,4,80.23,Accepted
RSK-00233,TR-0035,Data risk for Legacy Application Replacement Program 035,Data,Potential data risk associated with the transformation.,3,3,41.28,Open
RSK-00234,TR-0035,Operational risk for Legacy Application Replacement Program 035,Operational,Potential operational risk associated with the transformation.,4,5,89.37,Open
RSK-00235,TR-0035,Compliance risk for Legacy Application Replacement Program 035,Compliance,Potential compliance risk associated with the transformation.,4,5,85.64,Open
RSK-00236,TR-0036,Data risk for Cybersecurity Modernization Program 036,Data,Potential data risk associated with the transformation.,5,4,42.49,Open
RSK-00237,TR-0036,Vendor & Dependency risk for Cybersecurity Modernization Program 036,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,57.86,Monitoring
RSK-00238,TR-0036,People & Change risk for Cybersecurity Modernization Program 036,People & Change,Potential people & change risk associated with the transformation.,3,4,46.68,Open
RSK-00239,TR-0036,Compliance risk for Cybersecurity Modernization Program 036,Compliance,Potential compliance risk associated with the transformation.,2,2,80.28,Open
RSK-00240,TR-0036,Cybersecurity risk for Cybersecurity Modernization Program 036,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,4,61.01,Open
RSK-00241,TR-0036,Financial risk for Cybersecurity Modernization Program 036,Financial,Potential financial risk associated with the transformation.,3,2,67.63,Open
RSK-00242,TR-0037,Financial risk for ERP Modernization Program 037,Financial,Potential financial risk associated with the transformation.,3,3,29.67,Mitigated
RSK-00243,TR-0037,Operational risk for ERP Modernization Program 037,Operational,Potential operational risk associated with the transformation.,5,1,36.61,Mitigated
RSK-00244,TR-0037,Cybersecurity risk for ERP Modernization Program 037,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,2,38.18,Monitoring
RSK-00245,TR-0037,Compliance risk for ERP Modernization Program 037,Compliance,Potential compliance risk associated with the transformation.,4,4,86.95,Open
RSK-00246,TR-0037,Vendor & Dependency risk for ERP Modernization Program 037,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,3,48.38,Open
RSK-00247,TR-0037,People & Change risk for ERP Modernization Program 037,People & Change,Potential people & change risk associated with the transformation.,1,3,71.24,Open
RSK-00248,TR-0037,Technology risk for ERP Modernization Program 037,Technology,Potential technology risk associated with the transformation.,3,4,64.68,Monitoring
RSK-00249,TR-0038,Technology risk for Data Platform Modernization Program 038,Technology,Potential technology risk associated with the transformation.,3,3,51.91,Open
RSK-00250,TR-0038,Cybersecurity risk for Data Platform Modernization Program 038,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,5,38.09,Mitigated
RSK-00251,TR-0038,Operational risk for Data Platform Modernization Program 038,Operational,Potential operational risk associated with the transformation.,1,5,86.88,Open
RSK-00252,TR-0038,Data risk for Data Platform Modernization Program 038,Data,Potential data risk associated with the transformation.,4,5,83.88,Accepted
RSK-00253,TR-0038,People & Change risk for Data Platform Modernization Program 038,People & Change,Potential people & change risk associated with the transformation.,4,2,80.24,Monitoring
RSK-00254,TR-0038,Financial risk for Data Platform Modernization Program 038,Financial,Potential financial risk associated with the transformation.,4,3,62.17,Open
RSK-00255,TR-0038,Compliance risk for Data Platform Modernization Program 038,Compliance,Potential compliance risk associated with the transformation.,4,2,72.44,Mitigated
RSK-00256,TR-0039,Financial risk for ERP Modernization Program 039,Financial,Potential financial risk associated with the transformation.,3,3,86.27,Monitoring
RSK-00257,TR-0039,People & Change risk for ERP Modernization Program 039,People & Change,Potential people & change risk associated with the transformation.,3,5,49.58,Mitigated
RSK-00258,TR-0039,Operational risk for ERP Modernization Program 039,Operational,Potential operational risk associated with the transformation.,3,4,85.23,Open
RSK-00259,TR-0039,Cybersecurity risk for ERP Modernization Program 039,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,5,34.79,Open
RSK-00260,TR-0039,Vendor & Dependency risk for ERP Modernization Program 039,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,3,29.63,Open
RSK-00261,TR-0039,Data risk for ERP Modernization Program 039,Data,Potential data risk associated with the transformation.,4,3,46.78,Mitigated
RSK-00262,TR-0039,Technology risk for ERP Modernization Program 039,Technology,Potential technology risk associated with the transformation.,3,5,54.02,Accepted
RSK-00263,TR-0040,People & Change risk for Data Platform Modernization Program 040,People & Change,Potential people & change risk associated with the transformation.,4,1,43.63,Open
RSK-00264,TR-0040,Compliance risk for Data Platform Modernization Program 040,Compliance,Potential compliance risk associated with the transformation.,3,3,58.92,Open
RSK-00265,TR-0040,Cybersecurity risk for Data Platform Modernization Program 040,Cybersecurity,Potential cybersecurity risk associated with the transformation.,1,4,49.29,Monitoring
RSK-00266,TR-0040,Data risk for Data Platform Modernization Program 040,Data,Potential data risk associated with the transformation.,2,1,41.14,Open
RSK-00267,TR-0040,Technology risk for Data Platform Modernization Program 040,Technology,Potential technology risk associated with the transformation.,3,5,49.56,Open
RSK-00268,TR-0040,Financial risk for Data Platform Modernization Program 040,Financial,Potential financial risk associated with the transformation.,4,1,58.48,Open
RSK-00269,TR-0041,Financial risk for Data Platform Modernization Program 041,Financial,Potential financial risk associated with the transformation.,4,4,85.4,Accepted
RSK-00270,TR-0041,Data risk for Data Platform Modernization Program 041,Data,Potential data risk associated with the transformation.,1,3,60.55,Open
RSK-00271,TR-0041,Vendor & Dependency risk for Data Platform Modernization Program 041,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,5,26.05,Open
RSK-00272,TR-0041,People & Change risk for Data Platform Modernization Program 041,People & Change,Potential people & change risk associated with the transformation.,4,3,56.19,Accepted
RSK-00273,TR-0041,Operational risk for Data Platform Modernization Program 041,Operational,Potential operational risk associated with the transformation.,3,2,28.36,Mitigated
RSK-00274,TR-0041,Compliance risk for Data Platform Modernization Program 041,Compliance,Potential compliance risk associated with the transformation.,3,4,30.9,Open
RSK-00275,TR-0041,Technology risk for Data Platform Modernization Program 041,Technology,Potential technology risk associated with the transformation.,5,4,88.12,Open
RSK-00276,TR-0041,Cybersecurity risk for Data Platform Modernization Program 041,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,5,54.14,Open
RSK-00277,TR-0042,Financial risk for Cloud Migration Program 042,Financial,Potential financial risk associated with the transformation.,1,3,38.01,Monitoring
RSK-00278,TR-0042,Operational risk for Cloud Migration Program 042,Operational,Potential operational risk associated with the transformation.,2,4,42.13,Open
RSK-00279,TR-0042,Cybersecurity risk for Cloud Migration Program 042,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,4,55.32,Open
RSK-00280,TR-0042,Data risk for Cloud Migration Program 042,Data,Potential data risk associated with the transformation.,5,4,38.9,Mitigated
RSK-00281,TR-0042,People & Change risk for Cloud Migration Program 042,People & Change,Potential people & change risk associated with the transformation.,3,1,57.15,Open
RSK-00282,TR-0042,Vendor & Dependency risk for Cloud Migration Program 042,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,33.5,Mitigated
RSK-00283,TR-0043,Operational risk for Legacy Application Replacement Program 043,Operational,Potential operational risk associated with the transformation.,2,4,59.66,Open
RSK-00284,TR-0043,Cybersecurity risk for Legacy Application Replacement Program 043,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,1,85.3,Open
RSK-00285,TR-0043,People & Change risk for Legacy Application Replacement Program 043,People & Change,Potential people & change risk associated with the transformation.,1,2,40.62,Open
RSK-00286,TR-0043,Vendor & Dependency risk for Legacy Application Replacement Program 043,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,1,3,37.54,Open
RSK-00287,TR-0043,Compliance risk for Legacy Application Replacement Program 043,Compliance,Potential compliance risk associated with the transformation.,3,3,46.32,Open
RSK-00288,TR-0043,Data risk for Legacy Application Replacement Program 043,Data,Potential data risk associated with the transformation.,1,3,74.18,Accepted
RSK-00289,TR-0044,People & Change risk for Legacy Application Replacement Program 044,People & Change,Potential people & change risk associated with the transformation.,4,5,53.23,Monitoring
RSK-00290,TR-0044,Compliance risk for Legacy Application Replacement Program 044,Compliance,Potential compliance risk associated with the transformation.,4,3,85.4,Open
RSK-00291,TR-0044,Technology risk for Legacy Application Replacement Program 044,Technology,Potential technology risk associated with the transformation.,5,4,31.06,Monitoring
RSK-00292,TR-0044,Data risk for Legacy Application Replacement Program 044,Data,Potential data risk associated with the transformation.,1,4,76.95,Monitoring
RSK-00293,TR-0044,Operational risk for Legacy Application Replacement Program 044,Operational,Potential operational risk associated with the transformation.,5,2,42.94,Open
RSK-00294,TR-0044,Financial risk for Legacy Application Replacement Program 044,Financial,Potential financial risk associated with the transformation.,1,3,42.24,Open
RSK-00295,TR-0045,Technology risk for ERP Modernization Program 045,Technology,Potential technology risk associated with the transformation.,3,3,57.67,Open
RSK-00296,TR-0045,Financial risk for ERP Modernization Program 045,Financial,Potential financial risk associated with the transformation.,3,4,51.87,Mitigated
RSK-00297,TR-0045,Compliance risk for ERP Modernization Program 045,Compliance,Potential compliance risk associated with the transformation.,3,5,76.01,Accepted
RSK-00298,TR-0045,Data risk for ERP Modernization Program 045,Data,Potential data risk associated with the transformation.,4,2,59.22,Open
RSK-00299,TR-0045,Operational risk for ERP Modernization Program 045,Operational,Potential operational risk associated with the transformation.,4,4,42.12,Mitigated
RSK-00300,TR-0045,Cybersecurity risk for ERP Modernization Program 045,Cybersecurity,Potential cybersecurity risk associated with the transformation.,2,4,71.87,Open
RSK-00301,TR-0045,People & Change risk for ERP Modernization Program 045,People & Change,Potential people & change risk associated with the transformation.,4,5,29.39,Open
RSK-00302,TR-0045,Vendor & Dependency risk for ERP Modernization Program 045,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,32.71,Mitigated
RSK-00303,TR-0046,Vendor & Dependency risk for Legacy Application Replacement Program 046,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,2,89.98,Open
RSK-00304,TR-0046,Cybersecurity risk for Legacy Application Replacement Program 046,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,3,84.95,Open
RSK-00305,TR-0046,People & Change risk for Legacy Application Replacement Program 046,People & Change,Potential people & change risk associated with the transformation.,2,5,86.59,Open
RSK-00306,TR-0046,Technology risk for Legacy Application Replacement Program 046,Technology,Potential technology risk associated with the transformation.,3,3,52.05,Open
RSK-00307,TR-0046,Data risk for Legacy Application Replacement Program 046,Data,Potential data risk associated with the transformation.,5,3,70.84,Open
RSK-00308,TR-0046,Compliance risk for Legacy Application Replacement Program 046,Compliance,Potential compliance risk associated with the transformation.,1,4,47.04,Monitoring
RSK-00309,TR-0047,Operational risk for Legacy Application Replacement Program 047,Operational,Potential operational risk associated with the transformation.,3,4,44.3,Open
RSK-00310,TR-0047,Compliance risk for Legacy Application Replacement Program 047,Compliance,Potential compliance risk associated with the transformation.,3,3,50.08,Open
RSK-00311,TR-0047,People & Change risk for Legacy Application Replacement Program 047,People & Change,Potential people & change risk associated with the transformation.,3,4,50.23,Open
RSK-00312,TR-0047,Technology risk for Legacy Application Replacement Program 047,Technology,Potential technology risk associated with the transformation.,3,4,49.63,Monitoring
RSK-00313,TR-0047,Financial risk for Legacy Application Replacement Program 047,Financial,Potential financial risk associated with the transformation.,5,4,84.14,Monitoring
RSK-00314,TR-0047,Vendor & Dependency risk for Legacy Application Replacement Program 047,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,3,70.39,Accepted
RSK-00315,TR-0048,Operational risk for Cloud Migration Program 048,Operational,Potential operational risk associated with the transformation.,4,4,74.05,Mitigated
RSK-00316,TR-0048,Data risk for Cloud Migration Program 048,Data,Potential data risk associated with the transformation.,5,1,61.15,Open
RSK-00317,TR-0048,Financial risk for Cloud Migration Program 048,Financial,Potential financial risk associated with the transformation.,5,4,52.31,Open
RSK-00318,TR-0048,People & Change risk for Cloud Migration Program 048,People & Change,Potential people & change risk associated with the transformation.,3,4,38.28,Open
RSK-00319,TR-0048,Cybersecurity risk for Cloud Migration Program 048,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,4,37.99,Open
RSK-00320,TR-0048,Technology risk for Cloud Migration Program 048,Technology,Potential technology risk associated with the transformation.,5,4,64.68,Open
RSK-00321,TR-0048,Vendor & Dependency risk for Cloud Migration Program 048,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,1,72.35,Open
RSK-00322,TR-0048,Compliance risk for Cloud Migration Program 048,Compliance,Potential compliance risk associated with the transformation.,1,4,86.68,Monitoring
RSK-00323,TR-0049,Financial risk for AI Process Automation Program 049,Financial,Potential financial risk associated with the transformation.,5,5,30.12,Open
RSK-00324,TR-0049,People & Change risk for AI Process Automation Program 049,People & Change,Potential people & change risk associated with the transformation.,2,3,43.69,Open
RSK-00325,TR-0049,Technology risk for AI Process Automation Program 049,Technology,Potential technology risk associated with the transformation.,4,3,84.75,Open
RSK-00326,TR-0049,Data risk for AI Process Automation Program 049,Data,Potential data risk associated with the transformation.,2,3,30.22,Open
RSK-00327,TR-0049,Vendor & Dependency risk for AI Process Automation Program 049,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,5,3,37.88,Monitoring
RSK-00328,TR-0049,Operational risk for AI Process Automation Program 049,Operational,Potential operational risk associated with the transformation.,3,4,49.49,Mitigated
RSK-00329,TR-0049,Compliance risk for AI Process Automation Program 049,Compliance,Potential compliance risk associated with the transformation.,2,3,69.83,Mitigated
RSK-00330,TR-0049,Cybersecurity risk for AI Process Automation Program 049,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,4,29.49,Open
RSK-00331,TR-0050,People & Change risk for CRM Transformation Program 050,People & Change,Potential people & change risk associated with the transformation.,2,1,28.66,Mitigated
RSK-00332,TR-0050,Data risk for CRM Transformation Program 050,Data,Potential data risk associated with the transformation.,3,4,52.71,Monitoring
RSK-00333,TR-0050,Cybersecurity risk for CRM Transformation Program 050,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,4,89.29,Open
RSK-00334,TR-0050,Financial risk for CRM Transformation Program 050,Financial,Potential financial risk associated with the transformation.,4,2,56.05,Mitigated
RSK-00335,TR-0050,Compliance risk for CRM Transformation Program 050,Compliance,Potential compliance risk associated with the transformation.,4,4,42.12,Open
RSK-00336,TR-0050,Vendor & Dependency risk for CRM Transformation Program 050,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,55.04,Open
RSK-00337,TR-0050,Technology risk for CRM Transformation Program 050,Technology,Potential technology risk associated with the transformation.,3,3,48.73,Open
RSK-00338,TR-0051,Cybersecurity risk for Data Platform Modernization Program 051,Cybersecurity,Potential cybersecurity risk associated with the transformation.,1,4,89.17,Open
RSK-00339,TR-0051,Operational risk for Data Platform Modernization Program 051,Operational,Potential operational risk associated with the transformation.,4,2,63.49,Monitoring
RSK-00340,TR-0051,People & Change risk for Data Platform Modernization Program 051,People & Change,Potential people & change risk associated with the transformation.,3,1,63.69,Accepted
RSK-00341,TR-0051,Financial risk for Data Platform Modernization Program 051,Financial,Potential financial risk associated with the transformation.,3,2,33.06,Monitoring
RSK-00342,TR-0051,Data risk for Data Platform Modernization Program 051,Data,Potential data risk associated with the transformation.,4,4,73.95,Mitigated
RSK-00343,TR-0051,Technology risk for Data Platform Modernization Program 051,Technology,Potential technology risk associated with the transformation.,4,3,61.13,Open
RSK-00344,TR-0051,Compliance risk for Data Platform Modernization Program 051,Compliance,Potential compliance risk associated with the transformation.,3,5,69.32,Accepted
RSK-00345,TR-0051,Vendor & Dependency risk for Data Platform Modernization Program 051,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,3,4,56.66,Open
RSK-00346,TR-0052,Vendor & Dependency risk for Cybersecurity Modernization Program 052,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,4,31.3,Mitigated
RSK-00347,TR-0052,Financial risk for Cybersecurity Modernization Program 052,Financial,Potential financial risk associated with the transformation.,4,2,69.97,Monitoring
RSK-00348,TR-0052,Compliance risk for Cybersecurity Modernization Program 052,Compliance,Potential compliance risk associated with the transformation.,4,5,71.69,Monitoring
RSK-00349,TR-0052,Operational risk for Cybersecurity Modernization Program 052,Operational,Potential operational risk associated with the transformation.,3,4,87.2,Monitoring
RSK-00350,TR-0052,Data risk for Cybersecurity Modernization Program 052,Data,Potential data risk associated with the transformation.,4,3,74.15,Accepted
RSK-00351,TR-0053,Data risk for Data Platform Modernization Program 053,Data,Potential data risk associated with the transformation.,1,3,62.89,Monitoring
RSK-00352,TR-0053,Vendor & Dependency risk for Data Platform Modernization Program 053,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,4,66.7,Monitoring
RSK-00353,TR-0053,People & Change risk for Data Platform Modernization Program 053,People & Change,Potential people & change risk associated with the transformation.,4,4,64.4,Open
RSK-00354,TR-0053,Technology risk for Data Platform Modernization Program 053,Technology,Potential technology risk associated with the transformation.,3,4,81.74,Monitoring
RSK-00355,TR-0053,Compliance risk for Data Platform Modernization Program 053,Compliance,Potential compliance risk associated with the transformation.,2,4,39.41,Monitoring
RSK-00356,TR-0054,Cybersecurity risk for AI Process Automation Program 054,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,3,28.27,Open
RSK-00357,TR-0054,Data risk for AI Process Automation Program 054,Data,Potential data risk associated with the transformation.,2,3,86.37,Open
RSK-00358,TR-0054,People & Change risk for AI Process Automation Program 054,People & Change,Potential people & change risk associated with the transformation.,3,2,46.99,Mitigated
RSK-00359,TR-0054,Financial risk for AI Process Automation Program 054,Financial,Potential financial risk associated with the transformation.,3,4,77.18,Open
RSK-00360,TR-0054,Vendor & Dependency risk for AI Process Automation Program 054,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,5,51.14,Open
RSK-00361,TR-0054,Compliance risk for AI Process Automation Program 054,Compliance,Potential compliance risk associated with the transformation.,5,5,58.94,Monitoring
RSK-00362,TR-0054,Operational risk for AI Process Automation Program 054,Operational,Potential operational risk associated with the transformation.,3,5,57.41,Open
RSK-00363,TR-0055,Compliance risk for Legacy Application Replacement Program 055,Compliance,Potential compliance risk associated with the transformation.,3,4,55.07,Open
RSK-00364,TR-0055,Vendor & Dependency risk for Legacy Application Replacement Program 055,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,2,40.13,Mitigated
RSK-00365,TR-0055,Financial risk for Legacy Application Replacement Program 055,Financial,Potential financial risk associated with the transformation.,2,3,60.66,Open
RSK-00366,TR-0055,Operational risk for Legacy Application Replacement Program 055,Operational,Potential operational risk associated with the transformation.,2,4,48.93,Monitoring
RSK-00367,TR-0055,Data risk for Legacy Application Replacement Program 055,Data,Potential data risk associated with the transformation.,5,2,84.37,Mitigated
RSK-00368,TR-0055,People & Change risk for Legacy Application Replacement Program 055,People & Change,Potential people & change risk associated with the transformation.,4,4,65.31,Monitoring
RSK-00369,TR-0055,Cybersecurity risk for Legacy Application Replacement Program 055,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,1,87.28,Monitoring
RSK-00370,TR-0056,People & Change risk for AI Process Automation Program 056,People & Change,Potential people & change risk associated with the transformation.,3,4,49.39,Accepted
RSK-00371,TR-0056,Vendor & Dependency risk for AI Process Automation Program 056,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,2,3,44.11,Open
RSK-00372,TR-0056,Compliance risk for AI Process Automation Program 056,Compliance,Potential compliance risk associated with the transformation.,3,4,86.75,Open
RSK-00373,TR-0056,Data risk for AI Process Automation Program 056,Data,Potential data risk associated with the transformation.,4,1,42.06,Open
RSK-00374,TR-0056,Technology risk for AI Process Automation Program 056,Technology,Potential technology risk associated with the transformation.,1,4,69.09,Monitoring
RSK-00375,TR-0056,Operational risk for AI Process Automation Program 056,Operational,Potential operational risk associated with the transformation.,3,4,50.74,Open
RSK-00376,TR-0056,Cybersecurity risk for AI Process Automation Program 056,Cybersecurity,Potential cybersecurity risk associated with the transformation.,2,4,89.71,Open
RSK-00377,TR-0056,Financial risk for AI Process Automation Program 056,Financial,Potential financial risk associated with the transformation.,4,4,78.74,Open
RSK-00378,TR-0057,Financial risk for Data Platform Modernization Program 057,Financial,Potential financial risk associated with the transformation.,1,5,29.99,Open
RSK-00379,TR-0057,Data risk for Data Platform Modernization Program 057,Data,Potential data risk associated with the transformation.,1,3,46.73,Open
RSK-00380,TR-0057,Compliance risk for Data Platform Modernization Program 057,Compliance,Potential compliance risk associated with the transformation.,3,3,74.9,Mitigated
RSK-00381,TR-0057,Cybersecurity risk for Data Platform Modernization Program 057,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,2,44.2,Mitigated
RSK-00382,TR-0057,People & Change risk for Data Platform Modernization Program 057,People & Change,Potential people & change risk associated with the transformation.,2,3,86.26,Accepted
RSK-00383,TR-0058,Operational risk for CRM Transformation Program 058,Operational,Potential operational risk associated with the transformation.,4,3,68.29,Open
RSK-00384,TR-0058,Vendor & Dependency risk for CRM Transformation Program 058,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,5,5,57.03,Monitoring
RSK-00385,TR-0058,Compliance risk for CRM Transformation Program 058,Compliance,Potential compliance risk associated with the transformation.,3,3,37.84,Mitigated
RSK-00386,TR-0058,Data risk for CRM Transformation Program 058,Data,Potential data risk associated with the transformation.,4,5,82.04,Accepted
RSK-00387,TR-0058,Financial risk for CRM Transformation Program 058,Financial,Potential financial risk associated with the transformation.,3,5,62.13,Open
RSK-00388,TR-0058,People & Change risk for CRM Transformation Program 058,People & Change,Potential people & change risk associated with the transformation.,4,3,43.76,Open
RSK-00389,TR-0059,People & Change risk for AI Process Automation Program 059,People & Change,Potential people & change risk associated with the transformation.,4,2,71.58,Monitoring
RSK-00390,TR-0059,Financial risk for AI Process Automation Program 059,Financial,Potential financial risk associated with the transformation.,4,5,43.92,Mitigated
RSK-00391,TR-0059,Vendor & Dependency risk for AI Process Automation Program 059,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,4,4,68.2,Mitigated
RSK-00392,TR-0059,Technology risk for AI Process Automation Program 059,Technology,Potential technology risk associated with the transformation.,5,3,77.9,Monitoring
RSK-00393,TR-0059,Cybersecurity risk for AI Process Automation Program 059,Cybersecurity,Potential cybersecurity risk associated with the transformation.,3,5,50.64,Monitoring
RSK-00394,TR-0059,Data risk for AI Process Automation Program 059,Data,Potential data risk associated with the transformation.,2,3,79.65,Open
RSK-00395,TR-0059,Operational risk for AI Process Automation Program 059,Operational,Potential operational risk associated with the transformation.,3,3,56.95,Mitigated
RSK-00396,TR-0059,Compliance risk for AI Process Automation Program 059,Compliance,Potential compliance risk associated with the transformation.,5,2,62.36,Open
RSK-00397,TR-0060,Compliance risk for AI Process Automation Program 060,Compliance,Potential compliance risk associated with the transformation.,3,3,78.16,Monitoring
RSK-00398,TR-0060,Data risk for AI Process Automation Program 060,Data,Potential data risk associated with the transformation.,3,5,80.49,Open
RSK-00399,TR-0060,People & Change risk for AI Process Automation Program 060,People & Change,Potential people & change risk associated with the transformation.,4,3,73.05,Open
RSK-00400,TR-0060,Cybersecurity risk for AI Process Automation Program 060,Cybersecurity,Potential cybersecurity risk associated with the transformation.,4,3,58.22,Mitigated
RSK-00401,TR-0060,Operational risk for AI Process Automation Program 060,Operational,Potential operational risk associated with the transformation.,3,5,89.15,Mitigated
RSK-00402,TR-0061,Technology risk for CRM Transformation Program 061,Technology,Potential technology risk associated with the transformation.,3,5,71.12,Open
RSK-00403,TR-0061,Cybersecurity risk for CRM Transformation Program 061,Cybersecurity,Potential cybersecurity risk associated with the transformation.,5,3,36.08,Monitoring
RSK-00404,TR-0061,Vendor & Dependency risk for CRM Transformation Program 061,Vendor & Dependency,Potential vendor & dependency risk associated with the transformation.,5,3,41.23,Open
RSK-00405,TR-0061,Financial risk for CRM Transformation Program 061,Financial,Potential financial risk associated with the transformation.,5,3,57.71,Accepted
