control_id,risk_id,control_name,control_type,control_owner,control_frequency,effectiveness_score,control_status,description
CTRL-00206,RSK-00207,Operational Control 206,Detective,Control Owner 09,Monthly,57.62,Effective,Management control designed to reduce transformation risk.
CTRL-00207,RSK-00207,Operational Control 207,Detective,Control Owner 18,Per Transaction,49.6,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00208,RSK-00208,Data Control 208,Preventive,Control Owner 02,Daily,80.4,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00209,RSK-00210,Technology Control 209,Corrective,Control Owner 03,Per Transaction,38.15,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00210,RSK-00210,Technology Control 210,Corrective,Control Owner 19,Per Transaction,70.97,Effective,Management control designed to reduce transformation risk.
CTRL-00211,RSK-00211,Financial Control 211,Detective,Control Owner 09,Daily,87.6,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00212,RSK-00211,Financial Control 212,Corrective,Control Owner 04,Weekly,73.04,Effective,Management control designed to reduce transformation risk.
CTRL-00213,RSK-00214,People & Change Control 213,Detective,Control Owner 14,Weekly,71.3,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00214,RSK-00217,Compliance Control 214,Preventive,Control Owner 17,Monthly,63.76,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00215,RSK-00220,Data Control 215,Detective,Control Owner 05,Quarterly,53.63,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00216,RSK-00221,Operational Control 216,Corrective,Control Owner 26,Per Transaction,52.12,Effective,Management control designed to reduce transformation risk.
CTRL-00217,RSK-00222,People & Change Control 217,Corrective,Control Owner 12,Monthly,75.18,Effective,Management control designed to reduce transformation risk.
CTRL-00218,RSK-00222,People & Change Control 218,Corrective,Control Owner 15,Weekly,48.23,Effective,Management control designed to reduce transformation risk.
CTRL-00219,RSK-00223,People & Change Control 219,Corrective,Control Owner 02,Daily,61.26,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00220,RSK-00223,People & Change Control 220,Corrective,Control Owner 24,Monthly,87.77,Effective,Management control designed to reduce transformation risk.
CTRL-00221,RSK-00224,Financial Control 221,Corrective,Control Owner 27,Per Transaction,41.69,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00222,RSK-00225,Vendor & Dependency Control 222,Detective,Control Owner 04,Daily,87.16,Effective,Management control designed to reduce transformation risk.
CTRL-00223,RSK-00225,Vendor & Dependency Control 223,Corrective,Control Owner 07,Weekly,37.84,Effective,Management control designed to reduce transformation risk.
CTRL-00224,RSK-00226,Operational Control 224,Corrective,Control Owner 02,Quarterly,51.06,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00225,RSK-00226,Operational Control 225,Detective,Control Owner 28,Per Transaction,73.42,Effective,Management control designed to reduce transformation risk.
CTRL-00226,RSK-00227,Compliance Control 226,Corrective,Control Owner 09,Weekly,40.46,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00227,RSK-00228,Cybersecurity Control 227,Corrective,Control Owner 07,Monthly,52.19,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00228,RSK-00228,Cybersecurity Control 228,Detective,Control Owner 16,Monthly,48.63,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00229,RSK-00229,Technology Control 229,Corrective,Control Owner 15,Monthly,46.31,Effective,Management control designed to reduce transformation risk.
CTRL-00230,RSK-00230,People & Change Control 230,Detective,Control Owner 30,Monthly,77.08,Effective,Management control designed to reduce transformation risk.
CTRL-00231,RSK-00230,People & Change Control 231,Detective,Control Owner 02,Daily,85.79,Weak,Management control designed to reduce transformation risk.
CTRL-00232,RSK-00231,Vendor & Dependency Control 232,Detective,Control Owner 25,Per Transaction,64.55,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00233,RSK-00232,Financial Control 233,Detective,Control Owner 21,Weekly,72.61,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00234,RSK-00234,Operational Control 234,Preventive,Control Owner 19,Daily,93.74,Effective,Management control designed to reduce transformation risk.
CTRL-00235,RSK-00235,Compliance Control 235,Corrective,Control Owner 03,Daily,45.79,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00236,RSK-00238,People & Change Control 236,Preventive,Control Owner 18,Daily,61.61,Effective,Management control designed to reduce transformation risk.
CTRL-00237,RSK-00238,People & Change Control 237,Preventive,Control Owner 12,Per Transaction,30.6,Effective,Management control designed to reduce transformation risk.
CTRL-00238,RSK-00240,Cybersecurity Control 238,Detective,Control Owner 25,Per Transaction,70.73,Effective,Management control designed to reduce transformation risk.
CTRL-00239,RSK-00241,Financial Control 239,Corrective,Control Owner 13,Weekly,67.84,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00240,RSK-00241,Financial Control 240,Corrective,Control Owner 25,Daily,43.54,Weak,Management control designed to reduce transformation risk.
CTRL-00241,RSK-00242,Financial Control 241,Detective,Control Owner 10,Monthly,44.56,Effective,Management control designed to reduce transformation risk.
CTRL-00242,RSK-00242,Financial Control 242,Preventive,Control Owner 19,Monthly,51.63,Effective,Management control designed to reduce transformation risk.
CTRL-00243,RSK-00244,Cybersecurity Control 243,Detective,Control Owner 01,Daily,36.7,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00244,RSK-00244,Cybersecurity Control 244,Corrective,Control Owner 20,Weekly,53.1,Effective,Management control designed to reduce transformation risk.
CTRL-00245,RSK-00245,Compliance Control 245,Preventive,Control Owner 30,Daily,60.62,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00246,RSK-00245,Compliance Control 246,Detective,Control Owner 20,Daily,44.18,Effective,Management control designed to reduce transformation risk.
CTRL-00247,RSK-00246,Vendor & Dependency Control 247,Detective,Control Owner 14,Monthly,32.85,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00248,RSK-00246,Vendor & Dependency Control 248,Corrective,Control Owner 25,Weekly,75.62,Effective,Management control designed to reduce transformation risk.
CTRL-00249,RSK-00247,People & Change Control 249,Detective,Control Owner 30,Monthly,43.28,Effective,Management control designed to reduce transformation risk.
CTRL-00250,RSK-00250,Cybersecurity Control 250,Detective,Control Owner 15,Monthly,61.64,Effective,Management control designed to reduce transformation risk.
CTRL-00251,RSK-00250,Cybersecurity Control 251,Detective,Control Owner 26,Weekly,89.77,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00252,RSK-00251,Operational Control 252,Preventive,Control Owner 19,Monthly,71.28,Effective,Management control designed to reduce transformation risk.
CTRL-00253,RSK-00251,Operational Control 253,Detective,Control Owner 16,Per Transaction,68.48,Effective,Management control designed to reduce transformation risk.
CTRL-00254,RSK-00252,Data Control 254,Corrective,Control Owner 24,Weekly,33.02,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00255,RSK-00252,Data Control 255,Detective,Control Owner 27,Monthly,42.88,Weak,Management control designed to reduce transformation risk.
CTRL-00256,RSK-00254,Financial Control 256,Corrective,Control Owner 07,Per Transaction,45.65,Effective,Management control designed to reduce transformation risk.
CTRL-00257,RSK-00254,Financial Control 257,Detective,Control Owner 08,Per Transaction,55.87,Effective,Management control designed to reduce transformation risk.
CTRL-00258,RSK-00255,Compliance Control 258,Corrective,Control Owner 05,Monthly,83.99,Effective,Management control designed to reduce transformation risk.
CTRL-00259,RSK-00255,Compliance Control 259,Corrective,Control Owner 15,Weekly,57.41,Effective,Management control designed to reduce transformation risk.
CTRL-00260,RSK-00256,Financial Control 260,Corrective,Control Owner 02,Weekly,47.85,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00261,RSK-00257,People & Change Control 261,Detective,Control Owner 17,Per Transaction,33.61,Effective,Management control designed to reduce transformation risk.
CTRL-00262,RSK-00257,People & Change Control 262,Detective,Control Owner 05,Daily,49.63,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00263,RSK-00258,Operational Control 263,Preventive,Control Owner 11,Daily,70.53,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00264,RSK-00258,Operational Control 264,Preventive,Control Owner 13,Daily,49.13,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00265,RSK-00259,Cybersecurity Control 265,Detective,Control Owner 19,Daily,93.98,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00266,RSK-00259,Cybersecurity Control 266,Preventive,Control Owner 11,Quarterly,39.72,Effective,Management control designed to reduce transformation risk.
CTRL-00267,RSK-00260,Vendor & Dependency Control 267,Detective,Control Owner 13,Daily,67.79,Weak,Management control designed to reduce transformation risk.
CTRL-00268,RSK-00260,Vendor & Dependency Control 268,Preventive,Control Owner 16,Monthly,56.88,Effective,Management control designed to reduce transformation risk.
CTRL-00269,RSK-00261,Data Control 269,Corrective,Control Owner 25,Weekly,48.88,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00270,RSK-00261,Data Control 270,Detective,Control Owner 11,Per Transaction,52.34,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00271,RSK-00262,Technology Control 271,Corrective,Control Owner 20,Monthly,74.81,Weak,Management control designed to reduce transformation risk.
CTRL-00272,RSK-00262,Technology Control 272,Corrective,Control Owner 25,Daily,66.61,Effective,Management control designed to reduce transformation risk.
CTRL-00273,RSK-00263,People & Change Control 273,Detective,Control Owner 07,Weekly,83.66,Effective,Management control designed to reduce transformation risk.
CTRL-00274,RSK-00263,People & Change Control 274,Detective,Control Owner 16,Monthly,48.73,Effective,Management control designed to reduce transformation risk.
CTRL-00275,RSK-00264,Compliance Control 275,Corrective,Control Owner 23,Daily,69.79,Effective,Management control designed to reduce transformation risk.
CTRL-00276,RSK-00264,Compliance Control 276,Corrective,Control Owner 06,Monthly,90.22,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00277,RSK-00265,Cybersecurity Control 277,Preventive,Control Owner 21,Monthly,62.9,Effective,Management control designed to reduce transformation risk.
CTRL-00278,RSK-00265,Cybersecurity Control 278,Preventive,Control Owner 17,Monthly,58.06,Effective,Management control designed to reduce transformation risk.
CTRL-00279,RSK-00266,Data Control 279,Preventive,Control Owner 07,Monthly,58.57,Weak,Management control designed to reduce transformation risk.
CTRL-00280,RSK-00267,Technology Control 280,Corrective,Control Owner 06,Monthly,49.48,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00281,RSK-00267,Technology Control 281,Preventive,Control Owner 30,Weekly,86.84,Effective,Management control designed to reduce transformation risk.
CTRL-00282,RSK-00270,Data Control 282,Preventive,Control Owner 22,Monthly,84.78,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00283,RSK-00270,Data Control 283,Corrective,Control Owner 28,Daily,50.73,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00284,RSK-00273,Operational Control 284,Detective,Control Owner 27,Monthly,61.42,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00285,RSK-00273,Operational Control 285,Preventive,Control Owner 30,Weekly,35.72,Effective,Management control designed to reduce transformation risk.
CTRL-00286,RSK-00276,Cybersecurity Control 286,Preventive,Control Owner 16,Weekly,51.11,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00287,RSK-00279,Cybersecurity Control 287,Corrective,Control Owner 16,Per Transaction,91.07,Effective,Management control designed to reduce transformation risk.
CTRL-00288,RSK-00279,Cybersecurity Control 288,Preventive,Control Owner 23,Weekly,72.18,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00289,RSK-00280,Data Control 289,Corrective,Control Owner 10,Monthly,38.07,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00290,RSK-00281,People & Change Control 290,Corrective,Control Owner 02,Monthly,84.42,Effective,Management control designed to reduce transformation risk.
CTRL-00291,RSK-00281,People & Change Control 291,Preventive,Control Owner 19,Per Transaction,42.49,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00292,RSK-00282,Vendor & Dependency Control 292,Detective,Control Owner 17,Daily,72.76,Effective,Management control designed to reduce transformation risk.
CTRL-00293,RSK-00282,Vendor & Dependency Control 293,Detective,Control Owner 02,Per Transaction,73.8,Effective,Management control designed to reduce transformation risk.
CTRL-00294,RSK-00283,Operational Control 294,Detective,Control Owner 27,Daily,64.48,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00295,RSK-00283,Operational Control 295,Detective,Control Owner 23,Per Transaction,74.3,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00296,RSK-00285,People & Change Control 296,Corrective,Control Owner 14,Daily,93.32,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00297,RSK-00285,People & Change Control 297,Detective,Control Owner 30,Daily,65.29,Effective,Management control designed to reduce transformation risk.
CTRL-00298,RSK-00286,Vendor & Dependency Control 298,Preventive,Control Owner 12,Per Transaction,59.85,Effective,Management control designed to reduce transformation risk.
CTRL-00299,RSK-00286,Vendor & Dependency Control 299,Detective,Control Owner 28,Per Transaction,33.39,Effective,Management control designed to reduce transformation risk.
CTRL-00300,RSK-00288,Data Control 300,Detective,Control Owner 05,Quarterly,45.93,Weak,Management control designed to reduce transformation risk.
CTRL-00301,RSK-00288,Data Control 301,Detective,Control Owner 14,Daily,56.31,Effective,Management control designed to reduce transformation risk.
CTRL-00302,RSK-00289,People & Change Control 302,Preventive,Control Owner 04,Weekly,49.04,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00303,RSK-00291,Technology Control 303,Preventive,Control Owner 13,Weekly,36.69,Effective,Management control designed to reduce transformation risk.
CTRL-00304,RSK-00291,Technology Control 304,Preventive,Control Owner 01,Daily,38.95,Effective,Management control designed to reduce transformation risk.
CTRL-00305,RSK-00293,Operational Control 305,Corrective,Control Owner 07,Weekly,89.5,Effective,Management control designed to reduce transformation risk.
CTRL-00306,RSK-00293,Operational Control 306,Detective,Control Owner 19,Monthly,76.31,Effective,Management control designed to reduce transformation risk.
CTRL-00307,RSK-00295,Technology Control 307,Detective,Control Owner 09,Per Transaction,66.71,Effective,Management control designed to reduce transformation risk.
CTRL-00308,RSK-00295,Technology Control 308,Corrective,Control Owner 08,Quarterly,49.89,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00309,RSK-00296,Financial Control 309,Detective,Control Owner 07,Weekly,63.11,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00310,RSK-00299,Operational Control 310,Detective,Control Owner 08,Per Transaction,34.04,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00311,RSK-00300,Cybersecurity Control 311,Corrective,Control Owner 19,Daily,86.93,Effective,Management control designed to reduce transformation risk.
CTRL-00312,RSK-00300,Cybersecurity Control 312,Detective,Control Owner 30,Monthly,42.61,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00313,RSK-00301,People & Change Control 313,Preventive,Control Owner 26,Daily,87.57,Effective,Management control designed to reduce transformation risk.
CTRL-00314,RSK-00302,Vendor & Dependency Control 314,Preventive,Control Owner 04,Quarterly,86.54,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00315,RSK-00302,Vendor & Dependency Control 315,Detective,Control Owner 27,Weekly,92.16,Weak,Management control designed to reduce transformation risk.
CTRL-00316,RSK-00303,Vendor & Dependency Control 316,Corrective,Control Owner 23,Quarterly,54.82,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00317,RSK-00303,Vendor & Dependency Control 317,Detective,Control Owner 18,Monthly,41.56,Weak,Management control designed to reduce transformation risk.
CTRL-00318,RSK-00306,Technology Control 318,Corrective,Control Owner 29,Per Transaction,54.59,Effective,Management control designed to reduce transformation risk.
CTRL-00319,RSK-00306,Technology Control 319,Detective,Control Owner 17,Quarterly,81.02,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00320,RSK-00308,Compliance Control 320,Preventive,Control Owner 17,Quarterly,59.14,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00321,RSK-00308,Compliance Control 321,Corrective,Control Owner 18,Daily,79.56,Effective,Management control designed to reduce transformation risk.
CTRL-00322,RSK-00309,Operational Control 322,Corrective,Control Owner 03,Monthly,47.05,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00323,RSK-00309,Operational Control 323,Detective,Control Owner 16,Daily,77.19,Effective,Management control designed to reduce transformation risk.
CTRL-00324,RSK-00310,Compliance Control 324,Detective,Control Owner 18,Daily,94.92,Effective,Management control designed to reduce transformation risk.
CTRL-00325,RSK-00311,People & Change Control 325,Preventive,Control Owner 30,Daily,57.65,Effective,Management control designed to reduce transformation risk.
CTRL-00326,RSK-00311,People & Change Control 326,Corrective,Control Owner 11,Per Transaction,71.48,Effective,Management control designed to reduce transformation risk.
CTRL-00327,RSK-00312,Technology Control 327,Preventive,Control Owner 13,Monthly,89.67,Effective,Management control designed to reduce transformation risk.
CTRL-00328,RSK-00314,Vendor & Dependency Control 328,Detective,Control Owner 11,Per Transaction,86.15,Effective,Management control designed to reduce transformation risk.
CTRL-00329,RSK-00314,Vendor & Dependency Control 329,Corrective,Control Owner 19,Daily,39.52,Effective,Management control designed to reduce transformation risk.
CTRL-00330,RSK-00315,Operational Control 330,Detective,Control Owner 23,Daily,52.35,Effective,Management control designed to reduce transformation risk.
CTRL-00331,RSK-00315,Operational Control 331,Corrective,Control Owner 13,Daily,40.45,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00332,RSK-00317,Financial Control 332,Preventive,Control Owner 25,Daily,73.28,Effective,Management control designed to reduce transformation risk.
CTRL-00333,RSK-00317,Financial Control 333,Preventive,Control Owner 19,Quarterly,32.75,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00334,RSK-00318,People & Change Control 334,Preventive,Control Owner 21,Monthly,34.51,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00335,RSK-00318,People & Change Control 335,Corrective,Control Owner 07,Weekly,73.3,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00336,RSK-00319,Cybersecurity Control 336,Detective,Control Owner 20,Monthly,72.75,Weak,Management control designed to reduce transformation risk.
CTRL-00337,RSK-00319,Cybersecurity Control 337,Corrective,Control Owner 10,Weekly,68.72,Effective,Management control designed to reduce transformation risk.
CTRL-00338,RSK-00321,Vendor & Dependency Control 338,Preventive,Control Owner 03,Quarterly,71.9,Weak,Management control designed to reduce transformation risk.
CTRL-00339,RSK-00321,Vendor & Dependency Control 339,Preventive,Control Owner 13,Quarterly,87.49,Effective,Management control designed to reduce transformation risk.
CTRL-00340,RSK-00322,Compliance Control 340,Corrective,Control Owner 01,Daily,83.83,Effective,Management control designed to reduce transformation risk.
CTRL-00341,RSK-00323,Financial Control 341,Corrective,Control Owner 18,Weekly,31.96,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00342,RSK-00324,People & Change Control 342,Corrective,Control Owner 23,Monthly,46.62,Effective,Management control designed to reduce transformation risk.
CTRL-00343,RSK-00325,Technology Control 343,Corrective,Control Owner 25,Monthly,44.24,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00344,RSK-00326,Data Control 344,Preventive,Control Owner 02,Monthly,45.47,Effective,Management control designed to reduce transformation risk.
CTRL-00345,RSK-00326,Data Control 345,Detective,Control Owner 14,Daily,42.4,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00346,RSK-00327,Vendor & Dependency Control 346,Corrective,Control Owner 30,Per Transaction,55.2,Effective,Management control designed to reduce transformation risk.
CTRL-00347,RSK-00327,Vendor & Dependency Control 347,Detective,Control Owner 10,Daily,56.76,Effective,Management control designed to reduce transformation risk.
CTRL-00348,RSK-00328,Operational Control 348,Corrective,Control Owner 16,Monthly,32.65,Effective,Management control designed to reduce transformation risk.
CTRL-00349,RSK-00329,Compliance Control 349,Detective,Control Owner 04,Weekly,39.53,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00350,RSK-00330,Cybersecurity Control 350,Detective,Control Owner 23,Daily,40.62,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00351,RSK-00331,People & Change Control 351,Preventive,Control Owner 21,Daily,80.36,Effective,Management control designed to reduce transformation risk.
CTRL-00352,RSK-00331,People & Change Control 352,Preventive,Control Owner 15,Daily,77.28,Weak,Management control designed to reduce transformation risk.
CTRL-00353,RSK-00333,Cybersecurity Control 353,Preventive,Control Owner 30,Daily,52.97,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00354,RSK-00334,Financial Control 354,Corrective,Control Owner 28,Quarterly,30.4,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00355,RSK-00334,Financial Control 355,Preventive,Control Owner 25,Monthly,91.79,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00356,RSK-00335,Compliance Control 356,Preventive,Control Owner 14,Quarterly,53.23,Effective,Management control designed to reduce transformation risk.
CTRL-00357,RSK-00335,Compliance Control 357,Detective,Control Owner 08,Per Transaction,77.56,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00358,RSK-00336,Vendor & Dependency Control 358,Preventive,Control Owner 23,Per Transaction,91.36,Effective,Management control designed to reduce transformation risk.
CTRL-00359,RSK-00337,Technology Control 359,Corrective,Control Owner 01,Monthly,83.22,Weak,Management control designed to reduce transformation risk.
CTRL-00360,RSK-00338,Cybersecurity Control 360,Preventive,Control Owner 13,Daily,83.73,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00361,RSK-00339,Operational Control 361,Detective,Control Owner 02,Weekly,30.38,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00362,RSK-00340,People & Change Control 362,Preventive,Control Owner 19,Weekly,90.56,Effective,Management control designed to reduce transformation risk.
CTRL-00363,RSK-00340,People & Change Control 363,Detective,Control Owner 06,Per Transaction,71.99,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00364,RSK-00342,Data Control 364,Preventive,Control Owner 23,Monthly,36.9,Effective,Management control designed to reduce transformation risk.
CTRL-00365,RSK-00344,Compliance Control 365,Detective,Control Owner 05,Quarterly,81.75,Effective,Management control designed to reduce transformation risk.
CTRL-00366,RSK-00344,Compliance Control 366,Detective,Control Owner 20,Per Transaction,71.12,Weak,Management control designed to reduce transformation risk.
CTRL-00367,RSK-00345,Vendor & Dependency Control 367,Preventive,Control Owner 02,Per Transaction,74.39,Effective,Management control designed to reduce transformation risk.
CTRL-00368,RSK-00345,Vendor & Dependency Control 368,Detective,Control Owner 18,Monthly,59.31,Effective,Management control designed to reduce transformation risk.
CTRL-00369,RSK-00346,Vendor & Dependency Control 369,Detective,Control Owner 11,Quarterly,30.02,Weak,Management control designed to reduce transformation risk.
CTRL-00370,RSK-00346,Vendor & Dependency Control 370,Detective,Control Owner 24,Quarterly,89.32,Effective,Management control designed to reduce transformation risk.
CTRL-00371,RSK-00347,Financial Control 371,Detective,Control Owner 16,Daily,78.48,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00372,RSK-00348,Compliance Control 372,Preventive,Control Owner 14,Quarterly,51.02,Effective,Management control designed to reduce transformation risk.
CTRL-00373,RSK-00348,Compliance Control 373,Preventive,Control Owner 10,Daily,92.68,Effective,Management control designed to reduce transformation risk.
CTRL-00374,RSK-00350,Data Control 374,Preventive,Control Owner 19,Per Transaction,62.94,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00375,RSK-00350,Data Control 375,Detective,Control Owner 11,Per Transaction,86.87,Effective,Management control designed to reduce transformation risk.
CTRL-00376,RSK-00352,Vendor & Dependency Control 376,Corrective,Control Owner 14,Per Transaction,68.45,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00377,RSK-00352,Vendor & Dependency Control 377,Corrective,Control Owner 10,Daily,60.43,Weak,Management control designed to reduce transformation risk.
CTRL-00378,RSK-00354,Technology Control 378,Preventive,Control Owner 14,Per Transaction,42.53,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00379,RSK-00355,Compliance Control 379,Detective,Control Owner 07,Weekly,46.22,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00380,RSK-00358,People & Change Control 380,Corrective,Control Owner 05,Per Transaction,49.91,Weak,Management control designed to reduce transformation risk.
CTRL-00381,RSK-00358,People & Change Control 381,Corrective,Control Owner 11,Weekly,82.69,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00382,RSK-00359,Financial Control 382,Detective,Control Owner 26,Daily,52.54,Effective,Management control designed to reduce transformation risk.
CTRL-00383,RSK-00359,Financial Control 383,Corrective,Control Owner 15,Daily,69.43,Effective,Management control designed to reduce transformation risk.
CTRL-00384,RSK-00361,Compliance Control 384,Preventive,Control Owner 18,Weekly,65.73,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00385,RSK-00361,Compliance Control 385,Detective,Control Owner 02,Quarterly,48.85,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00386,RSK-00362,Operational Control 386,Corrective,Control Owner 27,Daily,59.56,Effective,Management control designed to reduce transformation risk.
CTRL-00387,RSK-00362,Operational Control 387,Detective,Control Owner 06,Daily,52.76,Weak,Management control designed to reduce transformation risk.
CTRL-00388,RSK-00363,Compliance Control 388,Detective,Control Owner 10,Daily,49.68,Effective,Management control designed to reduce transformation risk.
CTRL-00389,RSK-00364,Vendor & Dependency Control 389,Preventive,Control Owner 11,Monthly,90.41,Effective,Management control designed to reduce transformation risk.
CTRL-00390,RSK-00364,Vendor & Dependency Control 390,Preventive,Control Owner 23,Daily,90.63,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00391,RSK-00365,Financial Control 391,Preventive,Control Owner 18,Quarterly,42.62,Effective,Management control designed to reduce transformation risk.
CTRL-00392,RSK-00365,Financial Control 392,Corrective,Control Owner 16,Daily,31.22,Effective,Management control designed to reduce transformation risk.
CTRL-00393,RSK-00366,Operational Control 393,Preventive,Control Owner 30,Weekly,38.33,Weak,Management control designed to reduce transformation risk.
CTRL-00394,RSK-00366,Operational Control 394,Corrective,Control Owner 15,Monthly,78.89,Effective,Management control designed to reduce transformation risk.
CTRL-00395,RSK-00367,Data Control 395,Preventive,Control Owner 23,Monthly,76.6,Weak,Management control designed to reduce transformation risk.
CTRL-00396,RSK-00369,Cybersecurity Control 396,Detective,Control Owner 15,Quarterly,49.15,Effective,Management control designed to reduce transformation risk.
CTRL-00397,RSK-00370,People & Change Control 397,Preventive,Control Owner 18,Weekly,81.42,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00398,RSK-00373,Data Control 398,Preventive,Control Owner 13,Per Transaction,89.49,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00399,RSK-00374,Technology Control 399,Detective,Control Owner 03,Daily,64.56,Weak,Management control designed to reduce transformation risk.
CTRL-00400,RSK-00375,Operational Control 400,Detective,Control Owner 17,Per Transaction,65.62,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00401,RSK-00375,Operational Control 401,Preventive,Control Owner 09,Monthly,57.89,Effective,Management control designed to reduce transformation risk.
CTRL-00402,RSK-00376,Cybersecurity Control 402,Corrective,Control Owner 28,Monthly,48.65,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00403,RSK-00377,Financial Control 403,Preventive,Control Owner 03,Quarterly,58.63,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00404,RSK-00377,Financial Control 404,Detective,Control Owner 14,Daily,34.47,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00405,RSK-00380,Compliance Control 405,Corrective,Control Owner 19,Daily,30.68,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00406,RSK-00381,Cybersecurity Control 406,Detective,Control Owner 10,Daily,33.83,Effective,Management control designed to reduce transformation risk.
CTRL-00407,RSK-00381,Cybersecurity Control 407,Detective,Control Owner 05,Per Transaction,57.35,Effective,Management control designed to reduce transformation risk.
CTRL-00408,RSK-00382,People & Change Control 408,Corrective,Control Owner 04,Monthly,47.07,Effective,Management control designed to reduce transformation risk.
CTRL-00409,RSK-00384,Vendor & Dependency Control 409,Preventive,Control Owner 24,Monthly,55.44,Effective,Management control designed to reduce transformation risk.
CTRL-00410,RSK-00385,Compliance Control 410,Corrective,Control Owner 07,Monthly,70.48,Effective,Management control designed to reduce transformation risk.
